77,SingleControlProcessTable,CorrectionUpperLimitFlow,補正上限流量
78,SingleControlProcessTable,CorrectionLowerLimitFlow,補正下限流量
79,SingleControlProcessTable,UpperLimitAlarmFlow_H,上限アラーム流量HH
80,SingleControlProcessTable,LowerLimitAlarmFlow_L,下限アラーム流量LL
81,SingleControlProcessTable,UpperLimitAlarmFlow_HH,上限アラーム流量H
82,SingleControlProcessTable,LowerLimitAlarmFlow_LL,下限アラーム流量L
83,SingleControlProcessTable,PumpDelayTime1,ポンプディレイタイム(PM仕込)
84,SingleControlProcessTable,ValveDelayTime1,バルブディレイタイム(PM仕込)
85,SingleControlProcessTable,PreparationOrder1,仕込順(PM仕込)
86,SingleControlProcessTable,SourceTankPumpStartupSpeed1,送液元タンクポンプ立上速度(PM仕込)
87,SingleControlProcessTable,SourceTankPump1tageFrequency1,送液元タンクポンプ1段周波数(PM仕込)
88,SingleControlProcessTable,SourceTankPump2stageFrequency1,送液元タンクポンプ2段周波数(PM仕込)
89,SingleControlProcessTable,SourceTankPump2stageFrequencySwitchingWeight1,送液元タンクポンプ2段周波数切替重量(PM仕込)
90,SingleControlProcessTable,AmountOfStock1,仕込量(PM仕込)
91,SingleControlProcessTable,DroopAmountSettingValue1,垂れ量設定値(PM仕込)
92,SingleControlProcessTable,PumpDelayTime2,ポンプディレイタイム(EL仕込)
93,SingleControlProcessTable,ValveDelayTime2,バルブディレイタイム(EL仕込)
94,SingleControlProcessTable,PreparationOrder2,仕込順(EL仕込)
95,SingleControlProcessTable,SourceTankPumpStartupSpeed2,送液元タンクポンプ立上速度(EL仕込)
96,SingleControlProcessTable,SourceTankPump1tageFrequency2,送液元タンクポンプ1段周波数(EL仕込)
97,SingleControlProcessTable,SourceTankPump2stageFrequency2,送液元タンクポンプ2段周波数(EL仕込)
98,SingleControlProcessTable,SourceTankPump2stageFrequencySwitchingWeight2,送液元タンクポンプ2段周波数切替重量(EL仕込)
99,SingleControlProcessTable,AmountOfStock2,仕込量(EL仕込)
100,SingleControlProcessTable,DroopAmountSettingValue2,垂れ量設定値(EL仕込)
101,SingleControlProcessTable,PumpDelayTime3,ポンプディレイタイム(AC仕込)
102,SingleControlProcessTable,ValveDelayTime3,バルブディレイタイム　(AC仕込)
103,SingleControlProcessTable,PreparationOrder3,仕込順(AC仕込)
104,SingleControlProcessTable,SourceTankPumpStartupSpeed3,送液元タンクポンプ立上速度(AC仕込)
105,SingleControlProcessTable,SourceTankPump1tageFrequency3,送液元タンクポンプ1段周波数(AC仕込)
106,SingleControlProcessTable,SourceTankPump2stageFrequency3,送液元タンクポンプ2段周波数(AC仕込)
107,SingleControlProcessTable,SourceTankPump2stageFrequencySwitchingWeight3,送液元タンクポンプ2段周波数切替重量(AC仕込)
108,SingleControlProcessTable,AmountOfStock3,仕込量(AC仕込)
109,SingleControlProcessTable,DroopAmountSettingValue3,垂れ量設定値(AC仕込)
110,SingleControlProcessTable,PumpDelayTime_Washing,ポンプディレイタイム(洗浄)
111,SingleControlProcessTable,ValveDelayTime_Washing,バルブディレイタイム(洗浄)
112,SingleControlProcessTable,WashingPumpStartupSpeed_Washing,洗浄ポンプ 立上速度(洗浄)
113,SingleControlProcessTable,WashingPumpFrequency_Washing,洗浄ポンプ周波数(洗浄)
114,SingleControlProcessTable,WashingPumpOperationTime_Washing1,PM洗浄ポンプ運転時間(洗浄)
115,SingleControlProcessTable,WashingPumpOperationTime_Washing2,EL洗浄ポンプ運転時間(洗浄)
116,SingleControlProcessTable,WashingPumpOperationTime_Washing3,AC洗浄ポンプ運転時間(洗浄)
117,SingleControlProcessTable,PumpDelayTime_Collect,ポンプディレイタイム(回収)
118,SingleControlProcessTable,ValveDelayTime_Collect,バルブディレイタイム(回収)
119,SingleControlProcessTable,CollectPumpStartupSpeed_Collect,回収ポンプ立上速度(回収)
120,SingleControlProcessTable,CollectPumpFrequency_Collect,回収ポンプ周波数(回収)
121,SingleControlProcessTable,CollectPumpOperationTime_Collect,回収ポンプ運転時間(回収)
122,SingleControlProcessTable,WashingPumpDesignationCode,洗浄ポンプ指定コード
123,SingleControlProcessTable,WashingPumpPowerSupplyDesignationCode,洗浄ポンプ電源指定コード
124,SingleControlProcessTable,WashingPumpStartupSpeed,洗浄ポンプ立上速度
125,SingleControlProcessTable,WashingPumpFrequency,洗浄ポンプ周波数
126,SingleControlProcessTable,NumberOfWashes1,PM洗浄回数
127,SingleControlProcessTable,NumberOfWashes2,EL洗浄回数
128,SingleControlProcessTable,NumberOfWashes3,AC洗浄回数
129,SingleControlProcessTable,N2FillingTimer,N2充填タイマー
130,SingleControlProcessTable,OxygenConcentrationSettingValue,酸素濃度設定値
131,SingleControlProcessTable,AirRemovalTime1,エア抜き時間1
132,SingleControlProcessTable,AirRemovalTime2,エア抜き時間2
133,SingleControlProcessTable,ShowerBallLineFlag,シャワーボールラインフラグ
134,SingleControlProcessTable,FlowAccumulationCountPresentValue,流量積算カウント現在値
135,SingleControlProcessTable,MinimumContinuousFlowAccumulationCountPresentValue,最低連続流量積算カウント現在値
136,SingleControlProcessTable,FillingMachineValveOpeningAndClosingPattern,充填機自動弁開閉パターン
137,SingleControlProcessTable,FillingMachineSelectFlag,充填機選択フラグ
